"","V1","V2","V3"
"site","station1","station2","station3"
"richness_Mean","5.333333","3.666667","5.333333"
"richness_SD","0.5773503","1.5275252","1.5275252"
"richness_SE","0.3333333","0.8819171","0.8819171"
"abundance_Mean","400.0000","200.0000","633.3333"
"abundance_SD"," 95.39392","268.51443","161.96707"
"abundance_SE"," 55.07571","155.02688"," 93.51173"
"shannon_Mean","1.242957","1.120620","1.310140"
"shannon_SD","0.1712102","0.5389593","0.3771780"
"shannon_SE","0.09884827","0.31116828","0.21776380"
"simpson_Mean","0.6237996","0.6068269","0.6788509"
"simpson_SD","0.1161854","0.2483995","0.1117667"
"simpson_SE","0.06707969","0.14341350","0.06452855"
"pielous_Mean","0.7500362","0.8794997","0.7911290"
"pielous_SD","0.1433745","0.1426944","0.1394131"
"pielous_SE","0.08277731","0.08238468","0.08049020"
